star1,star2,angsep,separation,lnL1/L2,group_id,group_size
0,10408,191.681,9.749,7.10,319,2
1,70,301.122,9.433,6.29,320,2
2,1040,202.450,8.456,6.20,321,2
3,3637,90.583,8.575,6.07,322,2
4,3534,134.038,5.444,6.70,323,2
5,3271,121.806,6.430,7.37,324,2
6,4479,79.846,9.829,6.26,325,2
7,59,145.545,8.043,6.00,326,2
8,6184,111.762,7.892,6.14,327,2
9,8474,170.951,9.325,6.33,328,2
10,7954,138.486,9.276,6.11,329,2
11,3363,342.492,6.898,7.08,330,2
12,4657,311.710,7.402,6.13,331,2
13,10064,257.734,8.243,6.15,332,2
14,1503,167.548,8.944,7.57,333,2
15,10145,267.303,8.116,8.25,50,5
15,1760,253.802,3.511,8.39,50,5
15,9116,711.756,7.548,7.35,50,5
16,4420,121.695,9.629,6.47,334,2
17,698,78.010,9.631,7.11,101,3
18,10179,154.206,7.933,6.41,335,2
19,6890,67.845,3.989,7.68,336,2
20,3691,97.486,8.167,7.15,337,2
21,1183,247.891,8.155,6.27,102,3
21,8781,289.862,7.392,6.28,102,3
22,10075,129.980,9.517,6.07,338,2
23,7591,1.545,1.341,6.39,339,2
24,891,67.020,7.212,6.24,23,10
24,4847,101.098,7.821,6.43,23,10
24,1631,83.975,8.884,6.17,23,10
25,9019,0.585,4.270,6.11,340,2
26,2822,99.552,8.158,6.14,341,2
27,8564,193.306,6.394,6.59,342,2
28,9741,193.099,7.562,6.52,343,2
29,10011,191.748,5.087,6.13,344,2
30,8029,115.048,7.290,6.01,345,2
31,5444,1309.152,6.273,6.06,346,2
32,1755,184.813,8.446,6.22,347,2
33,121,109.809,4.823,6.52,348,2
34,1351,145.594,7.366,6.78,103,3
34,852,114.296,7.273,6.56,103,3
35,10109,171.691,4.963,6.65,349,2
36,10550,170.074,7.352,6.35,62,4
37,485,246.244,9.135,6.34,350,2
38,9702,85.149,6.566,6.25,351,2
39,10595,117.619,8.654,6.86,104,3
40,4200,111.347,6.024,6.92,352,2
41,3051,332.161,9.044,7.41,353,2
42,292,0.654,3.067,8.18,354,2
43,10540,103.412,6.011,7.51,355,2
44,4810,253.451,7.242,7.47,356,2
45,10510,103.199,9.366,6.78,30,8
45,9771,178.400,9.631,6.84,30,8
45,8345,272.396,7.808,6.63,30,8
46,8667,130.237,8.559,6.13,5,59
