id,size,mean_ra,mean_dec,mean_distance
0,151,56.418510,23.882803,134.514
1,125,52.711892,48.369120,172.504
2,118,65.183242,17.407788,47.194
3,114,187.537819,-60.039123,110.329
4,72,242.140546,-23.121759,147.406
5,59,159.751678,-64.624447,149.451
6,58,130.280679,19.684851,185.718
7,47,238.361686,-38.062682,133.492
8,47,186.077566,26.046176,85.868
9,36,129.871114,-52.777922,146.292
10,29,215.320442,56.133665,101.470
11,25,250.563126,-39.212578,176.917
12,23,135.049343,-57.644927,133.414
13,22,208.205025,-43.520485,141.806
14,20,255.226052,-68.375423,227.589
15,19,73.964099,-58.262553,44.757
16,18,111.235988,54.147869,202.189
17,16,45.997752,-29.838571,238.443
18,14,231.289274,-37.062976,152.245
19,13,51.025854,-36.341062,101.153
20,13,68.767080,71.461195,180.358
21,12,115.513287,-38.564952,187.195
22,11,140.299651,-44.443986,173.801
23,10,148.515243,-62.071355,219.590
24,10,223.639555,-47.416034,139.984
25,10,239.307911,-27.728970,108.622
26,10,47.073316,61.071667,122.694
27,9,244.832439,-28.201359,132.262
28,9,69.643046,21.735518,125.162
29,9,61.492600,20.179773,117.658
30,8,145.878759,-66.074223,84.256
31,8,102.913780,-38.502153,169.943
32,8,116.353396,-59.234320,106.367
33,7,74.617813,-2.312584,173.987
34,7,167.762834,-71.622369,243.497
35,7,219.014011,-46.981674,119.420
36,7,106.304511,79.324748,156.660
37,7,202.961309,-50.620525,140.234
38,7,34.662728,59.378691,389.389
39,7,67.935469,-42.028791,136.203
40,7,145.213111,-42.253828,141.145
41,7,32.906174,61.793138,110.144
42,6,203.345540,-54.140430,94.659
43,6,132.730297,-63.180443,198.868
44,6,202.220981,-48.844079,130.249
45,6,81.876386,5.599906,104.016
46,6,43.898383,54.312990,152.540
47,6,58.797839,11.961044,154.743
48,6,242.838596,-48.713613,121.893
49,6,33.046860,59.798513,356.221
50,5,24.372319,23.367198,32.743
51,5,56.409849,8.052909,139.655
52,5,112.658636,-67.036172,172.872
53,5,68.772217,-7.653459,156.294
54,5,109.942754,-51.163128,155.597
55,5,144.034610,-51.668965,124.528
56,5,268.161308,-34.397827,277.907
57,5,65.537891,6.867454,162.923
58,5,228.387638,-43.022351,151.801
59,5,315.345836,48.911822,162.187
60,5,82.710862,-42.923097,95.968
61,5,95.971239,-53.296592,118.333
62,4,182.942659,45.169846,49.041
63,4,52.744610,-2.548223,57.833
64,4,64.514450,37.212681,84.637
65,4,26.897295,-22.346101,81.165
66,4,322.776188,48.116883,282.339
67,4,54.698274,32.331667,50.658
68,4,108.795003,-47.746773,87.206
69,4,193.798860,31.880919,39.697
70,4,323.525283,-54.036480,165.330
71,4,246.449108,-59.575496,118.660
72,4,167.064673,-43.794873,104.850
73,4,140.527966,69.195951,127.852
74,4,284.336698,26.776717,269.130
75,4,197.767993,-63.680671,71.604
76,4,35.474505,28.869295,106.940
77,4,103.908882,-6.190666,286.119
78,4,229.341040,-35.517712,119.619
79,4,238.597184,-21.840715,121.941
80,4,109.414885,-36.430150,291.963
81,4,296.640061,-31.999024,119.256
82,4,168.639056,-61.372448,118.869
83,4,173.962651,-38.741519,71.242
84,4,229.180185,-40.319566,134.757
85,4,119.367522,-13.948325,116.281
86,4,235.123497,-73.948096,57.590
87,4,197.275080,-58.985032,124.714
88,4,158.747991,29.520156,76.336
89,4,70.817820,-26.354434,85.700
90,4,48.523711,48.445168,132.869
91,4,237.203474,-68.577799,149.729
92,4,169.609342,-20.131737,116.572
93,4,84.913913,-6.572175,87.452
94,4,38.386147,45.463066,128.380
95,4,169.762975,-36.534752,157.039
96,4,239.340619,51.613372,116.698
97,4,136.019979,-65.389514,232.848
98,4,250.063883,-73.427821,296.217
99,4,222.733979,-37.158811,143.467
100,4,175.805082,-49.997833,137.995
101,3,204.150512,80.322190,122.941
102,3,71.915396,-52.314445,89.334
103,3,42.662305,26.811899,140.368
104,3,356.847230,-51.659563,143.335
105,3,244.308127,54.948923,133.175
106,3,244.904357,-59.187957,96.444
107,3,64.351281,-55.206262,250.816
108,3,251.781764,-67.996436,249.602
109,3,24.125919,-45.729714,187.538
110,3,272.009486,-63.185227,240.302
111,3,137.826435,40.649638,124.129
112,3,90.750905,45.338597,192.668
113,3,191.999355,-41.253800,83.611
114,3,266.507313,2.262836,105.972
115,3,212.811159,-68.499427,113.473
116,3,123.290007,-27.125963,135.914
117,3,224.058026,-55.836429,176.943
118,3,234.145902,50.212996,61.934
119,3,25.759958,76.696347,61.054
120,3,191.632970,74.304025,123.017
121,3,68.537817,-7.563248,93.138
122,3,116.614948,-67.696779,138.346
123,3,19.930762,-67.067780,87.931
124,3,104.016376,11.972350,44.446
125,3,244.242660,-26.453056,150.409
126,3,244.682531,-25.933537,99.980
127,3,38.597329,5.420977,79.151
128,3,212.133765,-66.786525,99.624
129,3,89.308257,-40.309969,93.161
130,3,112.775785,29.394967,56.281
131,3,54.091447,42.655649,49.809
132,3,55.477186,46.442027,27.126
133,3,141.553542,-41.756267,150.908
134,3,34.041937,-49.698441,42.682
135,3,53.673259,45.570096,196.401
136,3,178.397365,-22.160659,101.117
137,3,184.744022,47.900590,56.134
138,3,86.578209,-22.823045,110.087
139,3,202.036484,-52.181117,112.712
140,3,101.964625,42.169074,64.834
141,3,334.855206,0.051890,17.763
142,3,36.038117,-50.692739,160.167
143,3,353.370256,-59.176566,176.717
144,3,105.389202,56.970201,187.770
145,3,337.780683,0.155850,98.156
146,3,43.237437,-77.115997,141.054
147,3,234.994457,-25.886305,166.896
148,3,160.227644,-26.344877,34.860
149,3,290.651215,-15.989135,134.047
150,3,35.373859,59.480738,401.751
151,3,16.676280,46.491499,94.916
152,3,22.568029,-59.398587,129.214
153,3,177.179352,39.634368,64.949
154,3,83.543902,61.668040,102.993
155,3,273.018885,49.014095,75.513
156,3,188.453886,-82.369478,160.309
157,3,170.347539,-45.143490,138.187
158,3,246.238301,-23.463896,132.048
159,3,52.984921,48.984946,150.563
160,3,262.292381,-67.045791,311.591
161,3,44.823875,36.714857,130.320
162,3,169.930380,-68.620889,111.110
163,3,101.101896,-36.816000,187.622
164,3,67.593764,4.449576,42.960
165,3,149.996620,51.353160,213.233
166,3,301.718659,-44.427091,64.224
167,3,173.306993,-55.418900,79.805
168,3,223.989985,-44.879806,257.506
169,3,227.472335,-28.123072,183.880
170,3,39.633435,29.904975,300.595
171,3,35.546963,-77.996515,103.193
172,3,342.753990,-63.603837,119.380
173,3,230.661840,-45.222100,139.422
174,3,328.928288,52.824254,278.518
175,3,118.175278,-64.034321,219.254
176,3,64.499624,-44.516899,92.778
177,3,255.805048,-68.920446,122.465
178,3,33.395369,48.523646,75.889
179,3,40.270336,28.874594,40.395
180,3,152.696077,71.177976,125.412
181,3,155.985141,46.595504,144.394
182,3,129.717355,31.845925,132.569
183,3,353.103758,16.113789,220.296
184,3,334.120649,55.572877,231.289
185,3,286.655884,4.236889,101.224
186,3,184.601036,-47.234630,138.277
187,3,14.402920,70.787898,76.166
188,3,121.064027,62.163271,142.586
189,3,251.121462,25.908095,52.639
190,3,228.962804,-42.049696,191.156
191,3,155.607104,-44.270350,221.563
192,3,219.989115,-64.528333,93.716
193,3,241.528043,-20.069016,167.645
194,3,196.214038,23.359457,95.266
195,3,185.629846,-64.398110,69.303
196,3,238.748132,54.502583,106.063
197,3,204.571190,2.010684,65.284
198,3,340.184063,54.334123,204.431
199,3,68.953697,-16.708477,200.558
200,3,206.796727,58.662622,112.021
201,3,116.260438,-59.639688,33.034
202,3,98.436454,-45.680278,96.886
203,3,235.070968,-19.487908,167.018
204,3,82.603684,24.555941,158.283
205,3,285.363868,-75.965392,193.078
206,3,1.622715,60.257575,200.772
207,3,308.810027,-57.409982,141.743
208,3,114.694829,74.471608,72.167
209,3,48.297252,-66.773644,181.079
210,3,273.676237,-75.718133,120.133
211,3,133.059316,-42.496679,166.030
212,3,249.272998,28.594588,94.933
213,3,169.169780,16.696467,58.347
214,3,328.228011,79.880206,185.374
215,3,11.147907,52.199995,69.075
216,3,292.166428,25.911275,49.256
217,3,171.266260,-38.858620,143.934
218,3,61.323282,50.565526,84.217
219,3,102.489448,-43.771523,141.278
220,3,48.095473,66.427041,209.449
221,3,203.133336,-60.329097,208.602
222,3,72.969654,-34.237397,59.695
223,3,94.328449,-41.702092,158.480
224,3,50.089583,24.265120,105.384
225,3,114.679881,-3.438507,14.146
226,3,171.686928,17.663493,76.244
227,3,337.145821,69.667161,68.756
228,3,35.853898,60.863265,163.231
229,3,154.458187,-42.243886,85.288
230,3,231.488401,-25.502565,121.249
231,3,116.382404,-38.480829,166.121
232,3,294.908080,16.681554,126.508
233,3,302.135699,-52.563568,98.379
234,3,154.523795,-32.695448,174.263
