Title: Co-moving stars in Gaia DR1:
  An abundance of very wide separation co-moving pairs
Authors: Semyeong Oh, Adrian M. Price-Whelan, David W. Hogg,
  Timothy D. Morton, David N. Spergel
Table: Catalog of candidate co-moving pairs
================================================================================
Byte-by-byte Description of file: datafile1.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label      Explanations
--------------------------------------------------------------------------------
   1- 19 I19    ---     sourceid1  Gaia source id of star 1
  21- 39 I19    ---     sourceid2  Gaia source id of star 2
  41- 44 F4.1   pc      Sep        separation between star 1 and 2
  46- 49 F4.1   ---     lnL1/L2    natural log of likelihood ratio
  51- 53 I3     ---     NCC        size of the connected component that the pair belongs to
  55- 58 I4     ---     IDCC       unique id of the connected component that the pair belongs to
  60- 63 I4     ---     IDMWSC     id of the closest Milky Way star cluster
  65- 69 F5.1   pc      dMWSC      distance to the closest Milky Way star cluster
  71- 72 A2     ---     OBAssc1    [A-L]? id of the OB associations if matched for star 1
  74- 75 A2     ---     OBAssc2    [A-L]? id of the OB associations if matched for star 2
--------------------------------------------------------------------------------
 249282341403694592  441371523899475840  4.9  7.0 125    1  210   4.0 -- -- 
 249087281167662464  441901694662492928  8.3  7.1 125    1  210   5.0 -- -- 
  64933755122821120   66786500935624320  7.8  7.5 151    0  228  14.0 -- -- 
 436536249718223744  441356921010671232  6.5  6.5 125    1  210   6.5 -- -- 
3953625835302703488 4008706729289355520  6.1  6.3  47    8 1605   6.0 -- -- 
  63730305286697600   65188085906203520  7.0  6.6 151    0  228  11.7 -- -- 
1873311936758998016 1873312074197947392  7.5  7.2   2 4013 2905  99.8 -- -- 
5814505765886192512 5814997419380722944  6.1  6.2  20   14 2149  86.5 -- -- 
 350903157411208832  352510643410053632  9.9  6.8   2  565  210  49.4 -- -- 
  64114241002810496   67618281484716544  7.2  6.1 151    0  228   4.5 -- -- 
5601640417832320640 5612406835685375872  9.0  6.5   2 1878  991  44.6 -- -- 
 532675587945707520  532976888491036672  7.3  6.0   2 1132 2905  95.5 -- -- 
  64933755122821120   65188085906203520  8.1  7.3 151    0  228  14.0 -- -- 
3898986979349503488 3912391469201297920  9.8  6.4   2 3381 1605  64.5 -- -- 
5368481658532087808 6125889726615119616  8.8  7.6 114    3 1578  51.0 -- -- 
  66969672699893248   70049473488842112  3.4  6.9 151    0  228   6.9 -- -- 
  66570549979009280   68322140721525760  5.4  7.0 151    0  228   8.3 -- -- 
4688292532592267264 6387058407186674560  5.6  6.3  19   15 1203  71.5 -- -- 
5244676924123960704 5244779109984697856  6.8  6.3   8   30 1203  36.9 -- -- 
6007941678327923200 6008217415232280960  9.8  6.1   2 2932 2149 115.0 -- -- 
4854307999424076288 4860645515726946944  7.8  6.6  13   19  213  14.5 -- -- 
3369837593916223744 3370569628142738688  8.6  6.2   2 4363  402  25.6 -- -- 
  66555981449928832   66715101399291392  8.7  6.5 151    0  228   7.6 -- -- 
5161919054721599488 5167928572962158080  8.5  6.4   2  951  213  53.2 -- -- 
6073105987301062656 6075374898258416000  8.1  6.5 114    3 1578  42.9 -- -- 
6071087593186508288 6073105987301062656  8.1  7.2 114    3 1578  39.0 -- -- 
3539823946994562816 3545474955724909568  7.7  6.8   4   92 1605  88.5 -- -- 
6143993700960706304 6145187598791778816  5.2  7.4   2 4397 1459  67.2 -- -- 
  63730305286697600   66555981449928832  6.6  6.4 151    0  228  11.7 -- -- 
6053025503361337984 6053750734358971520  5.2  6.1 114    3 1578  28.4 -- -- 
  66558249192653952   66746437479801088  7.1  7.8 151    0  228   6.5 -- -- 
1959809794962748288 1959809794963598208  5.4  6.2   2 1283 2905  62.0 -- -- 
5300305065662885120 5304602713018126208  9.3  6.1  23   12 1267   9.4 -- -- 
  69819022723623296   69872039800655744  1.3  7.7 151    0  228   2.9 -- -- 
 249087281167662464  249765198807892736  9.1  6.5 125    1  210   5.0 -- -- 
  22040535212841984   22040535212842112  7.5  6.1   2 1266  228  56.4 -- -- 
 441815142481538048  441901694662492928  3.5  7.1 125    1  210   5.5 -- -- 
1685928664027578112 1686046792808045184  6.2  6.1   2 3512  286 116.0 -- -- 
 564698451788613376  564823418156573568  3.8  6.2   7   36  286  47.9 -- -- 
 435242914806781184  435429007149649920  6.1  6.5 125    1  210   9.4 -- -- 
  64114241002810496   66838452861270272  5.9  7.1 151    0  228   4.5 -- -- 
  65194648616227840   66980358578521856  7.4  6.2 151    0  228   4.9 -- -- 
 249203176564080000  435647638163950848  5.3  6.6 125    1  210   6.3 -- -- 
 412902487796746752  509204966062164352  3.7  7.3   2 3111  210  57.7 -- -- 
4188455989709642624 4190326980543906816  8.3  6.1   2 3302 2454  92.5 -- -- 
3959212282084332544 4009300946604526208  8.6  6.8  47    8 1605   5.0 -- -- 
 435429007149649920  436786663491188096  8.3  7.8 125    1  210   3.7 -- -- 
3958022919740939904 4009051048227419520  9.2  7.1  47    8 1605   9.8 -- -- 
  68296886313838848   69872039800655744  2.3  6.3 151    0  228   3.7 -- -- 
  65119160271381248   66558249192653952  7.3  6.6 151    0  228   3.6 -- -- 
6073430618114947328 6075548414943972608  6.8  6.2 114    3 1578  45.5 -- -- 
 249212797292342400  441560399381392768  9.7  7.2 125    1  210   8.9 -- -- 
4902014090966232576 4909846496406798976  6.6  6.3  19   15  276  67.4 -- -- 
  64313218247427456   68296886313838848  9.7  6.5 151    0  228  12.5 -- -- 
 441645233577061248  441653239394337024  5.3  6.7 125    1  210   3.5 -- -- 
5855198828671517952 5855753394847328128  5.6  7.1 114    3 1578  17.8 -- -- 
3312025581763840512 3314079503847287424  5.1  6.1 118    2  276   8.8 -- -- 
5861485526917386368 6053499599027904640  8.2  6.1 114    3 1578  26.9 -- -- 
5239926827735288960 5240861412615531136  7.9  6.2  59    5 1459   2.6 -- -- 
  47345005052090880 3304412597612195328  4.4  6.2 118    2  276   3.5 -- -- 
5042466530932544640 5042833699096348032  7.7  7.0   4   65  213  55.4 -- -- 
 223787793490414336  241348128056539904  7.5  6.4   3  131  276  21.2 -- -- 
  65819961494790400   68310561489710336  6.4  6.8 151    0  228   4.4 -- -- 
 248924965763985280  249199878029198208  8.7  7.0 125    1  210   5.0 -- -- 
 436392282414665344  441493775848573440  9.0  6.4 125    1  210   6.9 -- -- 
  43789768566924416 3309956850635519488  9.7  6.9 118    2  276   7.9 -- -- 
3314079503847287424 3314109912215994112  1.1  6.1 118    2  276   4.4 -- -- 
  64313218247427456   67618281484716544  9.9  8.5 151    0  228  12.5 -- -- 
